#{"t_start": 1774317452.6745956, "env_id": "None"}
r,l,t
26.497431,53,12872.265131
-20.379651,25,12877.068633
-22.14129,43,12883.674537
32.225217,156,12901.584384
-18.979922,42,12908.089261
34.592825,225,12932.905712
5.617546,400,12975.234199
32.955712,121,12989.64447
28.324036,245,13016.461336
27.567888,66,13025.368088
33.371805,65,13034.173575
26.470365,166,13053.086958
41.601227,174,13072.800792
27.872085,70,13082.10865
32.712743,207,13105.123434
29.470655,109,13118.332984
33.331129,205,13141.147464
37.317793,134,13156.858356
31.265047,141,13173.267949
29.78603,127,13188.277306
31.820335,267,13217.295125
-16.871048,6,13220.196248
33.604536,50,13227.503039
34.322683,65,13236.305532
32.843162,123,13250.916034
41.204962,167,13269.929254
27.764454,50,13277.235526
29.967973,75,13287.041094
27.882161,70,13296.349357
32.565381,67,13305.355732
36.669882,263,13334.273509
30.894002,74,13343.980515
36.207299,115,13357.789729
30.9434,82,13368.598911
35.282421,151,13386.010029
25.512761,106,13398.918154
33.476589,53,13406.522575
36.882426,125,13421.33173
-52.565491,281,13451.751396
28.960095,65,13460.556606
33.37853,125,13475.371628
-62.533622,500,13527.709176
30.471048,131,13543.120161
26.565851,51,13550.524468
30.878368,266,13579.444463
-40.691303,191,13601.159147
33.472269,85,13611.966591
31.73187,52,13619.470178
26.799897,75,13629.277344
26.865811,105,13642.086756
13.190073,244,13668.806845
24.351182,112,13682.315949
30.73384,137,13698.328465
29.157534,50,13705.631899
-17.776545,22,13710.134919
-16.963017,7,13713.136436
25.186678,133,13728.749435
-102.224011,500,13781.084508
35.155206,86,13791.990699
28.756984,106,13804.898453
17.569117,332,13840.422829
22.807061,52,13847.927436
34.17215,88,13859.035212
31.525342,58,13867.140693
-21.175569,18,13871.242642
35.587996,114,13884.95189
21.204731,105,13897.760021
35.325908,146,13914.670885
30.605104,164,13933.382172
36.512547,95,13945.189701
-16.860097,6,13948.092
30.980622,104,13960.800948
33.103933,81,13971.208772
22.481425,108,13984.618092
-17.361845,7,13987.618208
27.790157,106,14000.527218
-34.311598,78,14010.632338
29.349105,61,14019.038125
20.135707,206,14042.252002
29.080628,208,14065.368195
34.693559,72,14074.873553
20.076875,211,14098.29635
19.502611,190,14119.614219
-12.257957,226,14144.540321
-28.985288,58,14152.645597
31.207,103,14165.261784
29.831356,56,14173.165869
26.929816,182,14193.684293
29.477206,136,14209.593805
-44.865666,220,14233.908201
-22.190508,73,14243.514143
38.044076,130,14258.823104
-16.498129,73,14268.430152
30.948531,137,14284.439337
30.954502,56,14292.344172
-25.348971,106,14305.252785
31.465975,102,14317.761258
-21.350753,31,14323.165004
30.261597,77,14333.171718
37.566445,178,14353.28553
36.601954,170,14372.597012
33.916784,157,14390.6089
28.597534,63,14399.21478
-35.558804,117,14413.523741
27.401185,59,14421.729463
41.855804,206,14444.943487
-33.532833,165,14463.75674
29.058455,90,14475.065397
28.345903,69,14484.271704
31.494752,164,14502.983738
33.874737,69,14512.19245
-22.764031,31,14517.59648
27.243448,142,14534.10667
23.878156,145,14550.917699
32.562436,46,14558.123337
30.680846,74,14567.831042
26.342321,124,14582.544468
26.688466,263,14611.162595
32.412821,193,14632.779196
-17.857109,14,14636.462792
32.990138,58,14644.570294
32.426024,124,14659.289405
27.920176,84,14669.99788
28.245663,54,14677.705792
28.697031,116,14691.614817
32.036691,148,14708.727482
-19.017277,13,14712.330774
20.541657,247,14739.347738
22.513944,165,14758.161023
-16.451088,210,14781.476198
28.687469,52,14788.982284
29.666081,122,14803.492533
29.551661,72,14812.998987
